name,image_url,calories,fat,carbs,description,prep_time,cook_time,instructions,protein,id
Vegan Stuffed Acorn Squash,https://images.eatthismuch.com/img/408767_Shamarie84_4ee23942-7f76-48ac-9b0b-f66059cfe3a1.png,456,24g,42g,"1 serving of vegan stuffed acorn squash  contains 456 Calories. The macronutrient
  breakdown is 34% carbs, 43% fat, and 23% protein.  This is a good source of protein (50% of your Daily Value), fiber (33% of your Daily Value), and potassium (28% of your Daily Value).",15 minutes,30 minutes,"Directions You can start with 1 pound of extra firm tofu and press for about 45 minutes to 1 hour. Once the extra water has been drained off, it should be around the same weight (but it’s not critical if it’s slightly over or under.)Preheat your oven to 400 degrees and line a baking dish with aluminum foil for easy clean up. Set aside.Slice your squash in half either lengthwise, and use a thin metal spoon to scrape out the seeds and guts. Cut a small sliver off the bottoms of each half so that they can sit in the pan without falling or sliding. Arrange in your baking dish so that there’s plenty of space between them.In your food processor, place the tofu, non-dairy milk, nutritional yeast, oil, vinegar, lemon juice, soy sauce, garlic and onion powder. Pulse to combine, until the mixture is mostly smooth and creamy, but still with a bit of texture. Fold in the chopped mushrooms, spinach, parsley, and about 3 tablespoons of the chopped cashews until well combined.Spoon the “ricotta” mixture into your squash as desired, and top with the remaining nuts. Lightly spritz or brush the exteriors of the squash all over with olive oil, and pop them into the oven. Bake for about 30 minutes, until the squash are fork-tender.",28,176
Roasted Paprika and Garlic Chickpeas,https://images.eatthismuch.com/img/354967_bsmoore6_f4800066-b39f-4130-afb6-0928ea6b5097.png,309,9g,45g,"1 serving of roasted paprika and garlic chickpeas  contains 309 Calories. The macronutrient
  breakdown is 57% carbs, 25% fat, and 18% protein.  This is a good source of protein (26% of your Daily Value), fiber (31% of your Daily Value), and potassium (11% of your Daily Value).",10 minutes,35 minutes,"Directions Preheat oven to 450 degrees F.

Toss chickpeas in a bowl with olive oil, salt, pepper, paprika and garlic powder. Spread in an even layer on a baking sheet and bake for 30-35 minutes, until crunchy and golden brown.

Allow to cool slightly and enjoy!Recipe inspired by: http://skinnyms.com/roasted-chickpeas-recipe/",15,177
Lasagna Zucchini Boats,https://images.eatthismuch.com/img/335607_missvictoria07_44f886b0-a4cc-4b79-beae-9f52eac1e526.png,410,24g,11g,"1 boat of lasagna zucchini boats  contains 410 Calories. The macronutrient
  breakdown is 10% carbs, 52% fat, and 37% protein.  This is a good source of protein (69% of your Daily Value), potassium (18% of your Daily Value), and calcium (34% of your Daily Value).",10 minutes,45 minutes,"Directions Preheat oven to 400 degrees F. Using a spoon, scoop centers from zucchini while leaving a 1/4-inch rim to create boats. Set aside.

In a mixing bowl stir together ricotta cheese, egg, and 1 1/2 tbsp of the parsley. Season lightly with salt and pepper. Stir in 1/2 cup of the mozzarella cheese and the parmesan cheese. Set aside.

Heat 2 tsp of the olive oil in a large non-stick skillet over medium-high heat. 

Crumble turkey into pan, season with salt and pepper and cook, stirring occasionally and breaking up beef when stirring, until browned.Stir in marinara sauce and 1 tbsp of the basil, remove from heat.

To assemble boats, brush both sides of of zucchini lightly with remaining 2 tsp olive oil and place in two baking pans. Divide cheese mixture among zucchini spooning about 2 1/2 tbsp into each, then spread cheese mixture into and even layer. Divide sauce among zucchini adding a few heaping spoonfuls to each. 

Cover baking dishes with foil and bake in the preheated oven 30 minutes. Remove from oven, sprinkle tops with remaining 1/2 cup mozzarella, return to oven and bake until cheese has melted and zucchini is tender, about 5 minutes. Sprinkle tops with remaining 1/2 tbsp of fresh basil and parsley and serve warm.",38,178
Oyakodon,https://images.eatthismuch.com/img/313054_PoorestFish_b5f56eed-b011-4928-861d-36291467aaed.png,360,14g,5g,"1 serving of oyakodon  contains 360 Calories. The macronutrient
  breakdown is 6% carbs, 37% fat, and 58% protein.  This is a good source of protein (89% of your Daily Value), potassium (16% of your Daily Value), and vitamin b6 (127% of your Daily Value).",15 minutes,25 minutes,"Directions Heat oil in a skillet over medium heat. Place chicken in, cover, and cook until no longer pink inside and beginning to brown, about 5-10 minutes.Stir in the onion, and cook and stir until the onion is soft, about 5 more minutes. Pour in the stock, and whisk in soy sauce, mirin, and brown sugar, stirring to dissolve the sugar. Bring the mixture to a boil, and let simmer until slightly reduced, about 10 minutes.Whisk the eggs in a bowl until well-beaten, and pour over the chicken and stock. Cover the skillet, reduce heat, and allow to steam for about 5 minutes, until the egg is cooked. Remove from heat.",50,179
Little Italy Chicken Pitas with Sun-Dried Tomato Vinaigrette,https://images.eatthismuch.com/img/3248903_elm333_a72e082d-b9d6-4a15-8815-fc4d77bcb5d2.jpg,354,8g,37g,"2 stuffed pita halves of little italy chicken pitas with sun-dried tomato vinaigrette  contains 354 Calories. The macronutrient
  breakdown is 43% carbs, 21% fat, and 36% protein.  This is a good source of protein (55% of your Daily Value), potassium (11% of your Daily Value), and vitamin a (32% of your Daily Value).",20 minutes,12 minutes,"Directions Spray a pan with non-stick spray and heat over medium-high. Add the chopped chicken and cook for 8-12 minutes, or until cooked through and no longer pink; set aside.Combine first 5 ingredients in a large bowl. Stir in cooked chicken, tomato, cheese, and basil, and mix until everything is well coated. Line each pita half with 1/4 cup greens. Divide chicken mixture evenly among pita halves. Enjoy!",31,180
6-Ingredient Tomato Soup,https://images.eatthismuch.com/img/312193_csherryd_1b5a580c-01f1-4002-898c-96eeb4928b93.png,535,41g,28g,"1 serving of 6-ingredient tomato soup  contains 535 Calories. The macronutrient
  breakdown is 22% carbs, 70% fat, and 8% protein.  This is a good source of protein (19% of your Daily Value), potassium (7% of your Daily Value), and vitamin a (41% of your Daily Value).",15 minutes,20 minutes,"Directions Melt butter in a large pot over medium heat.Meanwhile, add canned tomatoes along with their juices to a blender and process until well puréed. If you prefer a chunkier soup, leave some small chunks.Add garlic to the pot and sauté for 30 seconds. Pour in the puréed tomatoes and chicken stock. Bring the mixture to a gentle bubble, then reduce heat and simmer for 10 minutes, stirring occasionally.Stir in half of the basil, then season with salt and pepper to taste.Ladle the soup into bowls and drizzle each serving with heavy cream. Garnish with the remaining basil. Serve warm.",11,181
Dark Chocolate Brownie Bites,https://images.eatthismuch.com/img/338528_simmyras_9621ac72-7ccd-4f2d-b3b9-e8aff125c224.png,298,16g,38g,"1 Serving of dark chocolate brownie bites  contains 298 Calories. The macronutrient
  breakdown is 49% carbs, 47% fat, and 4% protein.  This is a good source of vitamin a (12% of your Daily Value).",15 minutes,45 minutes,"Directions Preheat the oven to 350 degrees F. Grease an 18x13-inch pan (half sheet pan) with cooking sprayIn a medium-large saucepan, heat the butter and unsweetened chocolate over low heat, whisking occasionally, until smooth and melted. Sprinkle in the cocoa powder and whisk to combine. Remove the pan from the heat and allow to cool for about 5 minutes.Stir the sugar and vanilla into the chocolate mixture until just combined. One at a time, stir in the eggs. Gently stir in the flour until halfway incorporated. Add the chocolate chips and stir just until combined.Pour the batter (it will be very thick) into the prepared pan, spreading to even out the top. Bake for 30 minutes, then check the brownies with a toothpick. If they are overly gooey/messy, return to the oven for 5 to 10 more minutes (just be careful not to burn the edges). Allow to cool completely, then cut into small squares.",3,182
Garlic and Herb Smashed Potatoes,https://images.eatthismuch.com/img/303883_kgines_618375be-88db-4d06-8298-e2336a2a4426.png,184,3g,36g,"1 serving of garlic and herb smashed potatoes  contains 184 Calories. The macronutrient
  breakdown is 77% carbs, 14% fat, and 9% protein.  This is a good source of fiber (20% of your Daily Value), potassium (20% of your Daily Value), and vitamin b6 (37% of your Daily Value).",5 minutes,50 minutes,"Directions Preheat oven to 450 degrees F.

In a small bowl add garlic cloves, parmesan cheese, and fresh thyme. Mix together and set aside.

Add chopped potatoes to a pot and fill with water until potatoes are just covered. Bring water to a boil, reduce to simmer and simmer for 15 minutes. (or until tender). Drain potatoes and place on a baking sheet. Let rest for 5 minutes. 

Using the back of a wooden spoon or your palm, smash the potatoes. Drizzle potatoes with olive oil and sprinkle with salt, repeat process on the other side.

Bake for 15 minutes. Remove potatoes from oven and flip. Bake for an additional 15 minutes. Remove from oven. Sprinkle each potatoes with the parmesan garlic herb mixture.


Serve.",4,183
"Tomato, Peach, and Goat Cheese Salad",https://images.eatthismuch.com/img/366154_BexieMcC_4c3b88f9-0113-4676-9756-3561739de5cf.png,1378,95g,101g,"2 serving of tomato, peach, and goat cheese salad  contains 1378 Calories. The macronutrient
  breakdown is 28% carbs, 59% fat, and 13% protein.  This is a good source of protein (82% of your Daily Value), fiber (76% of your Daily Value), and potassium (49% of your Daily Value).",15 minutes,37 minutes,"Directions Roast the Garlic: Preheat the oven to 475 degrees F. Cut off and discard the top of the head of garlic (keeping the rest of the head as intact as possible). Place the garlic head on a piece of aluminum foil; drizzle with olive oil and season with salt and pepper. Tightly wrap the seasoned garlic in the foil and place on a sheet pan. Roast in the oven 28 to 30 minutes, or until very soft and lightly browned. Remove from the oven and carefully unwrap. Set aside to cool.Prepare the Ingredients: While the garlic roasts, wash and dry the fresh produce. Remove the butter from the refrigerator to soften. Halve the cherry tomatoes. Roughly chop the pistachios. Pick the basil leaves off the stems; discard the stems. Pit and slice the peach into thin wedges. Peel and thinly slice the shallot. Cut the bread in half horizontally. Cut the tomato into wedges.Toast the Pistachios: While the garlic continues to roast, heat a small, dry pan on medium-high until hot. Add the pistachios and toast, stirring frequently, 2 to 5 minutes, or until browned and fragrant. Transfer to a small bowl and set aside as you continue cooking.Make the Roasted Garlic Spread: When cool enough to handle, using your hands, gently squeeze the roasted garlic cloves out of the head into a small bowl. Discard the empty head. Using a fork, mash the roasted garlic into a rough paste. Stir in 2 teaspoons of olive oil; season with salt and pepper to taste.Prepare the Garlic Bread: Spread a layer of butter onto the cut side of each piece of bread. Place the buttered bread onto a sheet pan, cut side up, and toast in the oven 5 to 7 minutes, or until golden brown and warmed through. Remove from the oven. Spread the roasted garlic paste onto the cut sides of the toasted bread slices; cut each piece of bread in half on an angle.Plate your dish: In a medium bowl, gently toss the arugula with a drizzle of olive oil. Season with salt and pepper to taste. Divide the dressed arugula, both kinds of tomatoes, peach, basil, goat cheese, toasted pistachios and as much of the shallot as you’d like (you may have extra shallot) between two plates. Finish each with a small drizzle of olive oil and season with salt and pepper. Serve with the garlic bread on the side. Enjoy!",46,184
Mushroom Quiche,https://images.eatthismuch.com/img/270714_DelGroot_9c21fc0e-1401-46d4-8b8f-742fbc2e96ce.png,386,33g,5g,"1 serving of mushroom quiche  contains 386 Calories. The macronutrient
  breakdown is 5% carbs, 75% fat, and 19% protein.  This is a good source of protein (34% of your Daily Value), calcium (36% of your Daily Value), and vitamin a (39% of your Daily Value).",15 minutes,35 minutes,"Directions Preheat oven to 350 degrees F.Beat the eggs, then beat in the cream and salt. Sauté the mushrooms in butter until tender, 5-10 minutes. Spread the cheese in the bottom of a greased large glass pie plate; top with the mushrooms.Pour the egg mixture evenly over the mushrooms. Bake for 25-35 minutes, until a knife inserted in the center comes out clean. Let stand about 5 minutes before cutting.Recipe inspired by: http://genaw.com/lowcarb/mushroom_quiche_1.html",19,185
"Zucchini, Potato, and Cilantro Soup",https://images.eatthismuch.com/images/recipe_image_placeholder.jpg,198,9g,25g,"1 serving of zucchini, potato, and cilantro soup  contains 198 Calories. The macronutrient
  breakdown is 48% carbs, 40% fat, and 11% protein.  This is a good source of fiber (18% of your Daily Value), potassium (22% of your Daily Value), and vitamin a (13% of your Daily Value).",20 minutes,35 minutes,"Directions Trim zucchini and cut into 1/2-inch rounds. Chop jalapeno, retaining the seeds. Peel potato and cut into 1/2-inch cubes. Melt butter in heavy large saucepan over medium-high heat. Add chile and fennel seeds; stir 30 seconds. Add next 3 ingredients; saut 2 minutes. Add broth and bring to boil. Reduce heat to medium-low, cover, and simmer until vegetables are tender, about 15 minutes.Pure soup in batches in blender, adding cilantro and 1 teaspoon lime juice to first batch. Return puree to same pan. Season to taste with salt, pepper, and more lime juice, if desired. Rewarm, if necessary, and serve.",6,186
Basmati Rice with Sugar Snap Peas and Green Chiles,https://images.eatthismuch.com/img/56933_Shamarie84_909dd04f-ff43-4ef7-9ed0-d3bef74f97f8.png,138,3g,26g,"1 serving of basmati rice with sugar snap peas and green chiles  contains 138 Calories. The macronutrient
  breakdown is 75% carbs, 17% fat, and 7% protein.  This is a good source of vitamin k (19% of your Daily Value).",25 minutes,45 minutes,"Directions Rinse rice until the water run clears. Drain and set aside. Thinly slice the scallions, separating the white and green pieces. Mince the jalapeno pepper, including the seeds.Heat 1/2 tablespoon oil over moderate heat in a 3-quart heavy saucepan until hot but not smoking, then cook white parts of scallions and mustard seeds, stirring frequently, until scallions are softened, 1 to 2 minutes. Add rice and cook, stirring, 1 minute. Add water and salt and bring to a boil. Cook over low heat, covered, until rice is tender and water is absorbed, about 15 minutes. Remove from heat and fluff rice with a fork, then let stand, covered, 5 minutes.While rice is standing, heat remaining 1/2 tablespoon oil in a 10-inch nonstick skillet over moderate heat until hot but not smoking, then cook jalapeo and scallion greens, stirring occasionally, until they begin to soften, about 1 minute. Add snap peas and cook, stirring, until crisp-tender, 3 to 4 minutes. Toss with rice and season with salt.",2,187
Banana and Black Bean Saute,https://images.eatthismuch.com/img/45549_elm333_fb293aa6-3c37-4737-9967-3b6a04955c32.jpeg,713,50g,63g,"1 serving of banana and black bean saute  contains 713 Calories. The macronutrient
  breakdown is 33% carbs, 59% fat, and 8% protein.  This is a good source of protein (26% of your Daily Value), fiber (45% of your Daily Value), and potassium (25% of your Daily Value).",5 minutes,10 minutes,"Directions Rinse and drain beans, chop banana.Heat the oil in a skillet over medium-high heat; cook the bananas in the hot oil until hot, 2 to 3 minutes. Stir the honey and black beans with the bananas; cook and stir another 2 to 3 minutes. Stir the lime juice and salt into the mixture. Pour the coconut milk over the mixture and stir. Allow the mixture to simmer until hot, about 5 minutes. Serve hot.",14,188
Pasta-Shell Risotto with Broccoli Rabe,https://images.eatthismuch.com/img/45467_elm333_d9a50f9c-81ce-499e-8b8b-a60c46757959.jpeg,385,14g,52g,"1 serving of pasta-shell risotto with broccoli rabe  contains 385 Calories. The macronutrient
  breakdown is 53% carbs, 32% fat, and 15% protein.  This is a good source of protein (27% of your Daily Value), potassium (11% of your Daily Value), and iron (44% of your Daily Value).",30 minutes,35 minutes,"Directions Chop onion. Chop garlic cloves.Bring broth, water, and 1 teaspoon salt to a boil in a medium saucepan, then reduce heat and keep at a bare simmer.Trim tough stem ends from broccoli rabe, then cut remaining stems crosswise into 1-inch pieces and reserve. Coarsely chop florets and leaves.Heat oil in a 5- to 6-quart heavy pot over medium-high heat until it shimmers, then saut onion with 1/2 teaspoon salt until softened, 3 to 5 minutes. Stir in garlic and saut 1 minute, then add pasta, broccoli rabe stems, and 3/4 cup hot broth and simmer briskly, stirring constantly, until broth is absorbed. Continue simmering and adding hot broth, about 3/4 cup at a time, stirring frequently and letting each addition be absorbed before adding the next, until pasta is almost al dente and creamy-looking, 12 to 13 minutes. Stir in remaining broccoli rabe and 1/4 teaspoon pepper and cook, stirring, until pasta is al dente and broccoli rabe is just tender, 2 to 3 minutes. (If needed, add more hot broth to moisten; there will be some broth left over.) Stir in cheese and salt and pepper to taste. Serve with more cheese on the side.",15,189
One Pot Couscous Shrimp,https://images.eatthismuch.com/img/357930_joshowers63_f52e6672-9ffe-413f-b12d-f0fbb3b4873c.png,507,24g,51g,"1 Serving of one pot couscous shrimp (A creamy stew full of tomatoes, kale, juicy shrimp and couscous. Easy to make and ready in 20 minutes.) contains 507 Calories. The macronutrient
  breakdown is 41% carbs, 43% fat, and 16% protein.  This is a good source of protein (36% of your Daily Value), fiber (14% of your Daily Value), and potassium (10% of your Daily Value).",10 minutes,20 minutes,"Directions Heat the coconut oil over a low heat until melted.Add the kale and garlic and salute until the kale becomes soft.Add the broth, tomatoes, olive oil, balsamic, salt, pepper, basil, oregano, couscous, and shrimp.Bring the mixture to a boil and then turn the heat down. Simmer for 20 minutes stirring often and the mixture has thickened and the couscous is soft.Garnish with the parmesan and basil. Serve in bowls at once.",20,190
Cuban Green Soup,https://images.eatthismuch.com/img/36618_elm333_786d9c50-0428-497c-b500-4594681f56f2.jpg,376,7g,59g,"1 serving of cuban green soup  contains 376 Calories. The macronutrient
  breakdown is 61% carbs, 16% fat, and 23% protein.  This is a good source of protein (40% of your Daily Value), fiber (56% of your Daily Value), and potassium (18% of your Daily Value).",1 minutes,30 minutes,"Directions Place a stock pot or Dutch oven over medium heat. Fry the salt pork for a few minutes to release some liquid. Add onion, and saute until translucent. Stir in the navy beans and turnip greens. Bring to a boil, reduce heat to medium-low, and simmer for about 30 minutes. Serve with home made pepper vinegar and a side of cornbread for restaurant-style dining.",22,191
"Green Beans with Crisp Shallots, Chile, and Mint",https://images.eatthismuch.com/img/56951_simmyras_91511fbb-528a-4b8a-bb7d-bcce53c209da.png,420,38g,20g,"1 serving of green beans with crisp shallots, chile, and mint  contains 420 Calories. The macronutrient
  breakdown is 19% carbs, 77% fat, and 4% protein.  This is a good source of fiber (25% of your Daily Value), potassium (12% of your Daily Value), and iron (46% of your Daily Value).",30 minutes,45 minutes,"Directions Finely chop mint. Thinly slice shallots (about 5) crosswise and separate rings. Thinly slice Serrano pepper crosswise. Trim beans into 1/2-inch pieces. Cook beans in a 4- to 5-quart pot of boiling salted water , uncovered, until just tender, about 5 minutes. Drain beans in a colander.Heat oil in a 12-inch heavy skillet over moderate heat until hot but not smoking, then fry shallots in 3 batches, stirring frequently, until golden brown, 3 to 5 minutes per batch (watch carefully; shallots burn easily). Transfer shallots quickly as browned with a slotted spoon to paper towels to drain. (Shallots will become crisp as they cool.)Discard all but about 1 tablespoon oil from skillet, then cook chile over moderate heat, stirring, until softened, about 2 minutes. Add beans and salt and toss with tongs until heated through. Remove from heat and add fried shallots and mint, tossing to combine.",5,192
Watermelon Salad,https://images.eatthismuch.com/img/320863_classic89_75e1bf2a-083b-46b2-b5db-8418c81b11e1.png,192,9g,24g,"1 serving of watermelon salad  contains 192 Calories. The macronutrient
  breakdown is 49% carbs, 39% fat, and 12% protein.  This is a good source of calcium (15% of your Daily Value).",20 minutes,10 minutes,"Directions Prepare couscous as per package directions, drain well, and place into a large bowl.As couscous cooks, stir together lemon zest, lemon juice, olive oil, and honey. Pour half of mixture over drained pasta in bowl and toss. Season with salt taste. Allow to cool.Add watermelon, feta, and basil to couscous, add remaining lemon juice mixture and toss to evenly coat. Enjoy!Recipe inspired by: http://www.cookingclassy.com/2015/05/watermelon-feta-orzo-salad-with-lemon-and-basil/",6,193
Chicken with Cashew Nuts and Yellow Bean Sauce,https://images.eatthismuch.com/img/906983_Mr.%20Bicep_308ecf33-5e65-4be0-b87f-6c233c6484fb.jpg,468,15g,53g,"1 serving of chicken with cashew nuts and yellow bean sauce  contains 468 Calories. The macronutrient
  breakdown is 45% carbs, 28% fat, and 27% protein.  This is a good source of protein (57% of your Daily Value), fiber (18% of your Daily Value), and potassium (17% of your Daily Value).",15 minutes,15 minutes,"Directions Chop the broccoli into bite sized pieces and slice the spring onion, separating the whites and greens.Peel the garlic and finely dice.  Peel the ginger using the edge of a spoon and grate or finely dice.Cut the chicken into thin strips and toss in the cornflour and 1/4 tsp salt.Lightly crush the cashew nuts.  Toast in a dry pan for a few minutes until golden.  Watch closely as they can burn quickly.Boil a large pot of water for the noodles and broccoli.  Boil the noodles for 4 minutes until just cooked and add the broccoli for the last 2 minutes.  Drain, run under cold running water and put back in the pan covered with cold water.Heat the olive oil in a frying pan over a medium heat.  Add the chicken and cook for approximately 5 minutes until crispy and cooked through.  Remove from the pan.In a bowl mix together the soy sauce, yellow bean sauce, rice vinegar and 5 tbsp of water.Add to the now empty frying pan the whites of the spring onions, garlic, ginger, and sesame oil and cook for 1 minute.  Add the chicken back to the pan along with the sauce and mix everything together.  Drain the broccoli and noodles and add to the frying pan.  Warm everything through.Serve topped with the toasted cashew nuts and the greens of the spring onions.",32,194
Cold Peanut Noodle Salad,https://images.eatthismuch.com/img/1497711_elm333_67b6c3a7-34de-4bf2-9e4c-d502332bb268.jpg,872,35g,118g,"1 serving of cold peanut noodle salad  contains 872 Calories. The macronutrient
  breakdown is 53% carbs, 35% fat, and 11% protein.  This is a good source of protein (45% of your Daily Value), fiber (38% of your Daily Value), and potassium (19% of your Daily Value).",20 minutes,5 minutes,"Directions Cook noodles according to package directions. Drain and rinse with cold water. Set aside.Thinly slice red pepper, grate carrots, chop scallions and peanuts, and mince garlic.Combine peanut butter, sriracha, rice wine vinegar, minced garlic, and hot water to make the dressing. Mix until smooth. Set aside.Combine the noodles with all other ingredients including the peanut dressing. Toss and mix well. Refrigerate until ready to serve.",25,195
Flourless Double Chocolate Brownies,https://images.eatthismuch.com/img/993066_elm333_1dabddc6-1adf-4b7e-b948-5873ffd3ea25.jpg,554,34g,69g,"2 pieces of flourless double chocolate brownies  contains 554 Calories. The macronutrient
  breakdown is 46% carbs, 51% fat, and 4% protein.  This is a good source of fiber (18% of your Daily Value) and magnesium (21% of your Daily Value).",10 minutes,37 minutes,"Directions Preheat oven to 350 degrees F and prepare an 8x8 inch baking pan by lining it with a sheet of aluminum foil, leaving a few inches of overhang on the sides to allow for easy removal. Grease the foil and set aside.Add coconut oil and chocolate chips to a small saucepan set over low heat. Stir until oil and chocolate have melted before removing from heat and setting aside to cool slightly.Using a handheld mixer or a stand mixer fitted with the whisk attachment, beat together eggs, sugar, and vanilla extract until smooth and pale, about 2 minutes. Add melted chocolate mixture and mix until well combined. Reduce speed to low and add cocoa powder, cornstarch powder, and salt, mixing until well combined and scraping down the sides of the bowl as necessary. Batter should be thick and smooth.Pour batter into prepared pan, spreading it evenly with a greased spatula. Bake for 25-30 minutes, until center is set. Remove from oven and let cool in pan for about 15 minutes before removing and transferring to a wire rack to cool completely. Cut into squares and serve.",5,196
S'mores Granola,https://images.eatthismuch.com/img/321816_simmyras_e26d7107-5f07-44a6-9b07-524b616235f6.png,428,18g,68g,"1 serving of s'mores granola  contains 428 Calories. The macronutrient
  breakdown is 59% carbs, 36% fat, and 5% protein.  This is a good source of fiber (21% of your Daily Value) and vitamin a (13% of your Daily Value).",10 minutes,30 minutes,"Directions Position an oven rack in the center of the oven, and preheat to 325 degrees F. Whisk together the butter, brown sugar, honey, vanilla and salt in a large bowl. Add the oats and cereal, and toss until evenly coated. Spread out on a rimmed baking sheet.Bake the oat mixture until golden and toasted, 25 to 30 minutes, stirring about halfway through. Let cool completely on the baking sheet. Stir in the marshmallows and chocolate chips. 

The granola can be stored in an airtight container at room temperature for up to 5 days.",6,197
Slow Cooker Thai Peanut Chicken,https://images.eatthismuch.com/img/339242_lastlegwarrior350_064a024d-0480-4e1e-a090-22756f2416be.png,378,28g,7g,"1 serving of slow cooker thai peanut chicken  contains 378 Calories. The macronutrient
  breakdown is 7% carbs, 67% fat, and 26% protein.  This is a good source of protein (44% of your Daily Value), potassium (10% of your Daily Value), and vitamin b6 (42% of your Daily Value).",10 minutes,480 minutes,"Directions Season chicken with fresh ground black pepper and place in slow cooker. In a medium bowl, combine remaining ingredients except cilantro.Pour over chicken. Cover and cook on low for eight hours.Using a slotted spoon, remove chicken and place on serving platter. Pour sauce over chicken.Garnish with cilantro and lime wedges, if desired. Enjoy!",25,198
"Tagliatelle with Spinach, Mascarpone, and Parmesan",https://images.eatthismuch.com/img/277877_keuadrian_4e28507e-ba8e-4e96-bda6-1b0099002525.png,811,37g,95g,"1 serving of tagliatelle with spinach, mascarpone, and parmesan ( http://www.jamieoliver.com/recipes/pasta-recipes/tagliatelle-with-spinach-mascarpone-and-parmesan/#y8XL3aKZUhfHPdSL.99) contains 811 Calories. The macronutrient
  breakdown is 46% carbs, 40% fat, and 13% protein.  This is a good source of protein (49% of your Daily Value), fiber (22% of your Daily Value), and potassium (20% of your Daily Value).",15 minutes,10 minutes,"Directions Bring a large pan of salted water to the boil, add the pasta, and cook according to the packet instructions. Meanwhile get a frying pan or wok warm, add a drizzle of olive oil, the butter, garlic, and nutmeg. When the butter melts, add the spinach. After 5 minutes it will have wilted down and will be nice and dark. A lot of the liquid will have cooked away and you'll have wonderful intensely flavoured spinach. At this point season with salt and pepper until it tastes good, then add the cream, mascarpone and a little ladle of cooking water from the pasta. Let this come to a simmer and then season again.Drain the pasta, reserving some of the cooking water, then stir it into the spinach sauce. Add the Parmesan and toss everything together. Loosen to a nice silky consistency with some of the reserved cooking water, so it doesn't become too thick. Check once more for seasoning and serve straight awayEnjoy!",27,199
Pork Cutlets,https://images.eatthismuch.com/img/276770_RainDeer_7c3ea3d7-2ddd-452d-94f9-6e6aa8465dfa.png,613,44g,28g,"2 serving of pork cutlets  contains 613 Calories. The macronutrient
  breakdown is 18% carbs, 64% fat, and 17% protein.  This is a good source of protein (47% of your Daily Value), potassium (14% of your Daily Value), and vitamin b6 (52% of your Daily Value).",12 minutes,18 minutes,"Directions Soak bread in milk. Shred onion and potato. Add bread into the mixture. Add ground pork and mix well. Add egg, salt, and pepper.
Make patties and coat in flour.
Heat oil in a pan over medium-high heat. Add patties and sauté in oil on each side until done, about 5-6 minutes per side. Enjoy!",26,200
Spiced Scallops with Braised Red Cabbage,https://images.eatthismuch.com/img/56954_Maddogbabytooth_9b7774b1-aed5-46b4-9bca-5449c0db3b37.jpeg,240,10g,16g,"1 serving of spiced scallops with braised red cabbage  contains 240 Calories. The macronutrient
  breakdown is 26% carbs, 37% fat, and 37% protein.  This is a good source of protein (40% of your Daily Value), potassium (13% of your Daily Value), and vitamin a (15% of your Daily Value).",10 minutes,20 minutes,"Directions Core and thinly slice cabbage. Remove tough ligament from side of scallops (if attached.)Melt 2 tablespoons butter in a 12-inch nonstick skillet over medium heat. Add cabbage, bay leaves, 1/2 teaspoon salt, and 1/4 teaspoon pepper and toss to coat.Stir in 1/2 cup water and 2 tablespoon vinegar and simmer, covered, stirring occasionally, until cabbage is tender, 
10 to 15 minutes. Transfer to a platter and keep warm, covered.Stir together spices, 1/2 teaspoon salt, and 
1/4 teaspoon pepper. Pat scallops dry and season both sides with spice mixture.Wipe out skillet, then heat remaining 
tablespoon butter over medium-high heat until foam subsides. Saut scallops, turning once, until golden brown and just cooked through, about 5 minutes total. Add 
to cabbage.Add remaining 1/4 cup water and tablespoon vinegar to skillet and boil, stirring, until slightly thickened, 1 to 2 minutes. Pour over scallops and cabbage.",22,201
Vegan Wedding Soup,https://images.eatthismuch.com/img/408746_elm333_84751def-2009-477e-96f4-bc7b841c828a.jpg,252,3g,38g,"1 serving of vegan wedding soup  contains 252 Calories. The macronutrient
  breakdown is 60% carbs, 11% fat, and 30% protein.  This is a good source of protein (34% of your Daily Value), fiber (26% of your Daily Value), and potassium (14% of your Daily Value).",5 minutes,35 minutes,"Directions Bring broth to a boil. Add lentils and chopped carrots to the pot and lower to medium heat. If cooking green lentils, cook for about 20 minutes before adding the quinoa. If cooking red lentils, cook for only 10 minutes before adding quinoa.Cook quinoa for about 15 minutes until al dente and carrots are tender.Stir in garlic powder, poultry seasoning, and red pepper flakes.Add in chopped vegan sausage and cook until well heated through. Vegan sausage can be added cooked or uncooked.Wilt in the kale for about 2 minutes, then sprinkle in the parsley and nutritional yeast. Season to taste with salt and pepper, and enjoy!",19,202
Granola Super-Protein Bar,https://images.eatthismuch.com/img/321213_AlonyaPixieDust_e9137321-b2d5-4e3c-984a-507248291ee5.png,225,9g,22g,"1 bars of granola super-protein bar  contains 225 Calories. The macronutrient
  breakdown is 37% carbs, 35% fat, and 28% protein.  This is a good source of protein (30% of your Daily Value) and fiber (16% of your Daily Value).",20 minutes,18 minutes,"Directions Preheat oven to 350°F. Prepare baking pan with cooking spray.Mix all the ingredients in a bowl until fully incorporated. Pour into baking pan and spread evenly, pressing down firmly.Bake for 15-20 minutes, until edges turn golden brown.Remove from oven and let cool in pan for 20 minutes before cutting into bars.",17,203
